,timestamp_year,timestamp_month,timestamp_day,total_irradiance
350,1980,12,17,1366.5
351,1980,12,18,1366.26
352,1980,12,19,1366.422
353,1980,12,20,
354,1980,12,21,1366.225
355,1980,12,22,1365.267
356,1980,12,23,1366.567
357,1980,12,24,1367.565
358,1980,12,25,1368.1870000000001
359,1980,12,26,
360,1980,12,27,1368.023
361,1980,12,28,1367.658
362,1980,12,29,1367.576
363,1980,12,30,1368.067
364,1980,12,31,1368.1889999999999
365,1981,1,1,1368.489
366,1981,1,2,1368.924
367,1981,1,3,1368.161
368,1981,1,4,1369.102
369,1981,1,5,1368.205
370,1981,1,6,1369.1779999999999
371,1981,1,7,1369.491
372,1981,1,8,
373,1981,1,9,
374,1981,1,10,1369.526
375,1981,1,11,1369.3
376,1981,1,12,
377,1981,1,13,
378,1981,1,14,1368.8629999999998
379,1981,1,15,
380,1981,1,16,1368.125
381,1981,1,17,1369.408
382,1981,1,18,1369.255
383,1981,1,19,1368.905
384,1981,1,20,1368.0539999999999
385,1981,1,21,1368.763
386,1981,1,22,1369.171
387,1981,1,23,1368.898
388,1981,1,24,
389,1981,1,25,1368.3110000000001
390,1981,1,26,1368.875
391,1981,1,27,1368.566
392,1981,1,28,1368.82
393,1981,1,29,1368.862
394,1981,1,30,1368.369
395,1981,1,31,
396,1981,2,1,
397,1981,2,2,1367.668
398,1981,2,3,1367.8270000000002
399,1981,2,4,1368.4679999999998
400,1981,2,5,1368.45
401,1981,2,6,1366.3870000000002
402,1981,2,7,1367.985
403,1981,2,8,1367.839
404,1981,2,9,1368.043
405,1981,2,10,1367.793
406,1981,2,11,1368.162
407,1981,2,12,1367.886
408,1981,2,13,1368.221
409,1981,2,14,1367.703
410,1981,2,15,1367.9589999999998
411,1981,2,16,1367.5870000000002
412,1981,2,17,1367.9579999999999
413,1981,2,18,1367.4070000000002
414,1981,2,19,1368.339
415,1981,2,20,1368.3139999999999
416,1981,2,21,1368.469
417,1981,2,22,1367.6589999999999
418,1981,2,23,1367.519
419,1981,2,24,1368.524
420,1981,2,25,1367.85
421,1981,2,26,1367.245
422,1981,2,27,1367.861
423,1981,2,28,1367.6129999999998
